facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10001789,Carteret County Detention Facility,Beaufort,Carteret,NC,28516,117,County,Not Available,Open,6,Major,Medium-High,34.7194389927757,-76.6620179995252
10005500,Caswell County Detention Center,Yanceyville,Caswell,NC,27379,108,County,Not Available,Open,1,Minimal,High,36.4067169820921,-79.3355799928939
10004187,Catawba County Detention Facility / Justice Center,Newton,Catawba,NC,28658,268,County,Maximum,Open,1,Minimal,Medium-High,35.6624170139723,-81.2325630156475
10005513,Chatham County Detention Center,Pittsboro,Chatham,NC,27312,NA,County,Not Available,Open,1,Minimal,High,35.7406169854759,-79.2658530358532
10005502,Chowan Law Enforcement Center,Edenton,Chowan,NC,27932,NA,County,Not Available,Open,1,Minimal,High,36.0655130055107,-76.6115590262281
10005512,Davidson County Detention Facility,Lexington,Davidson,NC,27292,283,County,Not Available,Open,1,Minimal,Medium-High,35.8264700117644,-80.2544199769639
10005510,Davie County Detention Center,Mocksville,Davie,NC,27028,72,County,Not Available,Open,1,Minimal,High,35.8819709931882,-80.5923199749516
10001762,Durham County Detention Facility,Durham,Durham,NC,27701,736,County,Maximum,Open,1,Minimal,High,35.9927769871395,-78.9008020418234
10004144,Hertford County Detention Center,Winton,Hertford,NC,27986,92,County,Medium,Open,1,Minimal,High,36.3977239962657,-76.9355670255309
10005507,Nash County Detention Facility,Nashville,Nash,NC,27856,296,County,Not Available,Open,6,Major,High,35.9761140150838,-77.967698992215
10004150,Dillon Regional Juvenile Detention Center,Butner,Granville,NC,27509,90,State,Juvenile,Closed,1,Minimal,High,36.1474699974747,-78.7912809936289
10005526,Cherokee County Jail,Murphy,Cherokee,NC,28906,150,County,Maximum,Open,1,Minimal,High,35.1017919951593,-84.0287090018525
10005505,Avery County Jail / Sheriff,Newland,Avery,NC,28657,62,County,Not Available,Open,1,Minimal,High,36.0865629818693,-81.9266909649254
10004143,Odom Correctional Institution,Jackson,Northampton,NC,27845,352,State,Minimum,Open,1,Minimal,High,36.3902219,-77.4228097
10004146,Warren Correctional Institution,Manson,Warren,NC,27553,809,State,Close,Open,1,Minimal,High,36.4164309792297,-78.271424965128
10005503,Chowan County Jail,Edenton,Chowan,NC,27932,23,County,Not Available,Open,3,Moderate,High,36.0605980917852,-76.6069356453409
10001794,Robeson Crv Center,Lumberton,Robeson,NC,28360,192,State,Minimum,Open,1,Minimal,High,34.6258669755984,-79.0726949381619
10001024,Cleveland Correctional Center,Shelby,Cleveland,NC,28152,142,State,Medium,Closed,1,Minimal,Medium,35.2834393123824,-81.4873093447971
10004161,High Point Detention Center,High Point,Guilford,NC,27260,274,County,Not Available,Open,7,Severe,Medium-High,35.9550670143008,-79.9979370087376
10004227,Wilmington Residential Facility For Women,Wilmington,New Hanover,NC,28403,36,State,Minimum,Closed,1,Minimal,High,34.2378810114404,-77.9028109916965
10004182,Randolph County Jail,Asheboro,Randolph,NC,27205,195,County,Not Available,Open,1,Minimal,Medium,35.6674753464452,-79.8319851714621
10004224,Robeson County Jail,Lumberton,Robeson,NC,28358,420,County,Not Available,Open,1,Minimal,High,34.5872819864132,-79.0517389956171
10004212,Sampson County Detention Center,Clinton,Sampson,NC,28328,300,County,Maximum,Open,1,Minimal,High,34.9924680055084,-78.3029160268153
10004154,Wilkes County Female Detention Center,North Wilkesboro,Wilkes,NC,28659,NA,County,Not Available,Closed,1,Minimal,High,36.1728089546513,-81.1390236675998
10006129,Pamlico County Jail,Bayboro,Pamlico,NC,28515,108,County,Not Available,Open,6,Major,High,35.1435399917623,-76.7701599731902
10005525,Macon County Detention Center,Franklin,Macon,NC,28734,75,County,Not Available,Open,1,Minimal,Medium-High,35.1977760182683,-83.3718490057494
10005514,Wilson County Detention Center,Wilson,Wilson,NC,27894,296,County,Not Available,Open,1,Minimal,Medium-High,35.7262719868339,-77.909794039051
10005497,Alleghany County Jail,Sparta,Alleghany,NC,28675,76,County,Not Available,Open,1,Minimal,High,36.5066819901144,-81.1203160049023
